Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	Embryo
rab1230_p02	rab1230_p02	rab1230_p02	Rab7_e2
rab1230_p03	rab1230_p03	rab1230_p03	Rab7_e4
rab1230_p04	rab1230_p04	rab1230_p04	Rab7_e4
rab1230_p05	rab1230_p05	rab1230_p05	Rab7_e4
rab1230_p06	rab1230_p06	rab1230_p06	Rab7_e7
rab1230_p07	rab1230_p07	rab1230_p07	Rab7_e7
Rab4_aria_p01	Rab4_aria_p01	Rab4_aria_p01	Rab4_e1
Rab4_aria_p02	Rab4_aria_p02	Rab4_aria_p02	Rab4_e1
Rab4_aria_p03	Rab4_aria_p03	Rab4_aria_p03	Rab4_e1
Rab4_aria_p04	Rab4_aria_p04	Rab4_aria_p04	Rab4_e1
Rab4_aria_p05	Rab4_aria_p05	Rab4_aria_p05	Rab4_e3
Rab4_aria_p06	Rab4_aria_p06	Rab4_aria_p06	Rab4_e3
Rab4_aria_p07	Rab4_aria_p07	Rab4_aria_p07	Rab4_e3
Rab4_aria_p08	Rab4_aria_p08	Rab4_aria_p08	Rab4_e3
Rab4_aria_p09	Rab4_aria_p09	Rab4_aria_p09	Rab4_e5
Rab4_aria_p10	Rab4_aria_p10	Rab4_aria_p10	Rab4_e5
Rab4_aria_p11	Rab4_aria_p11	Rab4_aria_p11	Rab4_e5
Rab4_aria_p12	Rab4_aria_p12	Rab4_aria_p12	Rab4_e5
Rab4_aria_p13	Rab4_aria_p13	Rab4_aria_p13	Rab4_e7
Rab4_aria_p14	Rab4_aria_p14	Rab4_aria_p14	Rab4_e7
Rab4_aria_p15	Rab4_aria_p15	Rab4_aria_p15	Rab4_e7
Rab4_aria_p16	Rab4_aria_p16	Rab4_aria_p16	Rab4_e7
Rab4_aria_p17	Rab4_aria_p17	Rab4_aria_p17	Rab4_e8
Rab4_aria_p18	Rab4_aria_p18	Rab4_aria_p18	Rab4_e8
Rab4_aria_p19	Rab4_aria_p19	Rab4_aria_p19	Rab4_e8
Rab4_aria_p20	Rab4_aria_p20	Rab4_aria_p20	Rab4_e8
Rab4_aria_p21	Rab4_aria_p21	Rab4_aria_p21	Rab4_e8
Rab4_p01	Rab4_p01	Rab4_p01	Rab4_e2
Rab4_p02	Rab4_p02	Rab4_p02	Rab4_e2
Rab4_p03	Rab4_p03	Rab4_p03	Rab4_e2
Rab4_p04	Rab4_p04	Rab4_p04	Rab4_e2
Rab4_p05	Rab4_p05	Rab4_p05	Rab4_e4
Rab4_p06	Rab4_p06	Rab4_p06	Rab4_e4
Rab4_p07	Rab4_p07	Rab4_p07	Rab4_e4
Rab4_p08	Rab4_p08	Rab4_p08	Rab4_e4
Rab4_p09	Rab4_p09	Rab4_p09	Rab4_e6
Rab4_p12	Rab4_p12	Rab4_p12	Rab4_e6
Rab4_p13	Rab4_p13	Rab4_p13	Rab4_e9
Rab4_p14	Rab4_p14	Rab4_p14	Rab4_e9
Rab4_p16	Rab4_p16	Rab4_p16	Rab4_e9
Rab4_p17	Rab4_p17	Rab4_p17	Rab4_e10
Rab4_p18	Rab4_p18	Rab4_p18	Rab4_e10
Rab4_p19	Rab4_p19	Rab4_p19	Rab4_e10
Rab4_p20	Rab4_p20	Rab4_p20	Rab4_e10
rab1129_p01	rab1129_p01	rab1129_p01	Rab6_e2
rab1129_p02	rab1129_p02	rab1129_p02	Rab6_e2
rab1129_p03	rab1129_p03	rab1129_p03	Rab6_e2
rab1129_p04	rab1129_p04	rab1129_p04	Rab6_e2
rab1129_p05	rab1129_p05	rab1129_p05	Rab6_e5
rab1129_p06	rab1129_p06	rab1129_p06	Rab6_e5
rab1129_p07	rab1129_p07	rab1129_p07	Rab6_e5
rab1129_p08	rab1129_p08	rab1129_p08	Rab6_e8
rab1129_p09	rab1129_p09	rab1129_p09	Rab6_e8
rab1129_p10	rab1129_p10	rab1129_p10	Rab6_e8
rab1129_p11	rab1129_p11	rab1129_p11	Rab6_e10
rab1129_p12	rab1129_p12	rab1129_p12	Rab6_e10
rab1129_p13	rab1129_p13	rab1129_p13	Rab6_e10
rab6_p01	rab6_p01	rab6_p01	Rab6_e1
rab6_p02	rab6_p02	rab6_p02	Rab6_e1
rab6_p03	rab6_p03	rab6_p03	Rab6_e3
rab6_p04	rab6_p04	rab6_p04	Rab6_e3
rab6_p05	rab6_p05	rab6_p05	Rab6_e6
rab6_p06	rab6_p06	rab6_p06	Rab6_e6
rab6_p07	rab6_p07	rab6_p07	Rab6_e7
rab6_p08	rab6_p08	rab6_p08	Rab6_e7
rab6_p09	rab6_p09	rab6_p09	Rab6_e9
rab6_p10	rab6_p10	rab6_p10	Rab6_e11
rab6_p11	rab6_p11	rab6_p11	Rab6_e11
rab8_p1	rab8_p1	rab8_p1	Rab8_e2
rab8_p2	rab8_p2	rab8_p2	Rab8_e2
rab8_p3	rab8_p3	rab8_p3	Rab8_e2
rab8_p4	rab8_p4	rab8_p4	Rab8_e2
rab8_p5	rab8_p5	rab8_p5	Rab8_e2
rab8_p6	rab8_p6	rab8_p6	Rab8_e4
rab8_p7	rab8_p7	rab8_p7	Rab8_e4
rab8_p8	rab8_p8	rab8_p8	Rab8_e4
rab8_p9	rab8_p9	rab8_p9	Rab8_e4
rab8_p10	rab8_p10	rab8_p10	Rab8_e4
rab8_p11	rab8_p11	rab8_p11	Rab8_e6_Anterior
rab8_p12	rab8_p12	rab8_p12	Rab8_e6_Anterior
rab8_p13	rab8_p13	rab8_p13	Rab8_e6_Posterior
rab8_p14	rab8_p14	rab8_p14	Rab8_e6_Posterior
rab8_p15	rab8_p15	rab8_p15	Rab8_e6_Trunk
rab8_p16	rab8_p16	rab8_p16	Rab8_e6_Trunk
Rab0113_P01	Rab0113_P01	Rab0113_P01	Rab8_e1
Rab0113_P02	Rab0113_P02	Rab0113_P02	Rab8_e1
Rab0113_P03	Rab0113_P03	Rab0113_P03	Rab8_e1
Rab0113_P04	Rab0113_P04	Rab0113_P04	Rab8_e1
Rab0113_P05	Rab0113_P05	Rab0113_P05	Rab8_e1
Rab0113_P06	Rab0113_P06	Rab0113_P06	Rab8_e3
Rab0113_P07	Rab0113_P07	Rab0113_P07	Rab8_e3
Rab0113_P08	Rab0113_P08	Rab0113_P08	Rab8_e3
Rab0113_P09	Rab0113_P09	Rab0113_P09	Rab8_e3
Rab0113_P10	Rab0113_P10	Rab0113_P10	Rab8_e3
Rab0113_P11	Rab0113_P11	Rab0113_P11	Rab8_e5
Rab0113_P12	Rab0113_P12	Rab0113_P12	Rab8_e5
Rab0113_P13	Rab0113_P13	Rab0113_P13	Rab8_e5
Rab0113_P14	Rab0113_P14	Rab0113_P14	Rab8_e5
Rab0113_P15	Rab0113_P15	Rab0113_P15	Rab8_e5
Rab0113_P16	Rab0113_P16	Rab0113_P16	Rab8_e5
Rab3_aria_p01	Rab3_aria_p01	Rab3_aria_p01	Rab3_e5
Rab3_aria_p03	Rab3_aria_p03	Rab3_aria_p03	Rab3_e7
rab1125_p06	rab1125_p06	rab1125_p06	Rab5_e3
rab1125_p07	rab1125_p07	rab1125_p07	Rab5_e5
rab1125_p08	rab1125_p08	rab1125_p08	Rab5_e5
rab1125_p09	rab1125_p09	rab1125_p09	Rab5_e7
rab1125_p10	rab1125_p10	rab1125_p10	Rab5_e7
rab1125_p11	rab1125_p11	rab1125_p11	Rab5_e7
rab1125_p01	rab1125_p01	rab1125_p01	Rab5_e1
rab1125_p02	rab1125_p02	rab1125_p02	Rab5_e1
rab1125_p03	rab1125_p03	rab1125_p03	Rab5_e1
rab1125_p04	rab1125_p04	rab1125_p04	Rab5_e3
rab1125_p05	rab1125_p05	rab1125_p05	Rab5_e3
Rab3_aria_p02	Rab3_aria_p02	Rab3_aria_p02	Rab3_e6
rab5_e2_3	rab5_e2_3	rab5_e2_3	Rab5_e2
rab5_e4_1	rab5_e4_1	rab5_e4_1	Rab5_e4
rab5_e4_3	rab5_e4_3	rab5_e4_3	Rab5_e4
rab5_e6a_1	rab5_e6a_1	rab5_e6a_1	Rab5_e6_Anterior
rab5_e6a_2	rab5_e6a_2	rab5_e6a_2	Rab5_e6_Anterior
rab5_e6p_2	rab5_e6p_2	rab5_e6p_2	Rab5_e6_Posterior
20210830_P23	20210830_P23	20210830_P23	0830e8
20210830_P24	20210830_P24	20210830_P24	0830e8
20210830_P25	20210830_P25	20210830_P25	0830e8
20210830_P26	20210830_P26	20210830_P26	0830e9
20210830_P27	20210830_P27	20210830_P27	0830e9
20210830_P28	20210830_P28	20210830_P28	0830e9
20210830_P29	20210830_P29	20210830_P29	0830e10
20210830_P30	20210830_P30	20210830_P30	0830e10
20210830_P31	20210830_P31	20210830_P31	0830e10
20210830_P32	20210830_P32	20210830_P32	0830e11
20210830_P33	20210830_P33	20210830_P33	0830e11
20210830_P34	20210830_P34	20210830_P34	0830e11
20210830_P01	20210830_P01	20210830_P01	0830e1
20210830_P02	20210830_P02	20210830_P02	0830e1
20210830_P03	20210830_P03	20210830_P03	0830e1
20210830_P04	20210830_P04	20210830_P04	0830e2
20210830_P05	20210830_P05	20210830_P05	0830e2
20210830_P06	20210830_P06	20210830_P06	0830e2
20210830_P07	20210830_P07	20210830_P07	0830e2
20210830_P08	20210830_P08	20210830_P08	0830e3
20210830_P09	20210830_P09	20210830_P09	0830e3
20210830_P10	20210830_P10	20210830_P10	0830e3
20210830_P11	20210830_P11	20210830_P11	0830e4
20210830_P12	20210830_P12	20210830_P12	0830e4
20210830_P13	20210830_P13	20210830_P13	0830e4
20210830_P14	20210830_P14	20210830_P14	0830e5
20210830_P15	20210830_P15	20210830_P15	0830e5
20210830_P16	20210830_P16	20210830_P16	0830e5
20210830_P17	20210830_P17	20210830_P17	0830e6
20210830_P18	20210830_P18	20210830_P18	0830e6
20210830_P19	20210830_P19	20210830_P19	0830e6
20210830_P20	20210830_P20	20210830_P20	0830e7
20210830_P21	20210830_P21	20210830_P21	0830e7
20210830_P22	20210830_P22	20210830_P22	0830e7
Rab9_e2_01	Rab9_e2_01	Rab9_e2_01	Rab9_e2
Rab9_e2_02	Rab9_e2_02	Rab9_e2_02	Rab9_e2
Rab9_e2_03	Rab9_e2_03	Rab9_e2_03	Rab9_e2
Rab9_e2_04	Rab9_e2_04	Rab9_e2_04	Rab9_e2
Rab9_e2_05	Rab9_e2_05	Rab9_e2_05	Rab9_e2
Rab9_e5_01	Rab9_e5_01	Rab9_e5_01	Rab9_e5
Rab9_e5_02	Rab9_e5_02	Rab9_e5_02	Rab9_e5
Rab9_e5_03	Rab9_e5_03	Rab9_e5_03	Rab9_e5
Rab9_e5_04	Rab9_e5_04	Rab9_e5_04	Rab9_e5
Rab9_e4_01	Rab9_e4_01	Rab9_e4_01	Rab9_e4
Rab9_e4_02	Rab9_e4_02	Rab9_e4_02	Rab9_e4
Rab9_e4_03	Rab9_e4_03	Rab9_e4_03	Rab9_e4
Rab9_e4_04	Rab9_e4_04	Rab9_e4_04	Rab9_e4
Rab9_e6_01	Rab9_e6_01	Rab9_e6_01	Rab9_e6
Rab9_e6_02	Rab9_e6_02	Rab9_e6_02	Rab9_e6
Rab9_e6_03	Rab9_e6_03	Rab9_e6_03	Rab9_e6
Rab9_e6_04	Rab9_e6_04	Rab9_e6_04	Rab9_e6
Rab9_e1_01	Rab9_e1_01	Rab9_e1_01	Rab9_e1
Rab9_e1_02	Rab9_e1_02	Rab9_e1_02	Rab9_e1
Rab9_e1_03	Rab9_e1_03	Rab9_e1_03	Rab9_e1
Rab9_e1_04	Rab9_e1_04	Rab9_e1_04	Rab9_e1
Rab9_e3_01	Rab9_e3_01	Rab9_e3_01	Rab9_e3
Rab9_e3_02	Rab9_e3_02	Rab9_e3_02	Rab9_e3
Rab9_e3_03	Rab9_e3_03	Rab9_e3_03	Rab9_e3
Rab9_e3_04	Rab9_e3_04	Rab9_e3_04	Rab9_e3
20210824_P04	20210824_P04	20210824_P04	0824e1
20210824_P05	20210824_P05	20210824_P05	0824e2
20210824_P06	20210824_P06	20210824_P06	0824e2
20210824_P07	20210824_P07	20210824_P07	0824e2
20210824_P08	20210824_P08	20210824_P08	0824e2
20210824_P10	20210824_P10	20210824_P10	0824e3
20210824_P11	20210824_P11	20210824_P11	0824e3
20210824_P12	20210824_P12	20210824_P12	0824e3
20210824_P13	20210824_P13	20210824_P13	0824e4_anterior
20210824_P14	20210824_P14	20210824_P14	0824e4_anterior
20210824_P15	20210824_P15	20210824_P15	0824e4_posterior
20210824_P16	20210824_P16	20210824_P16	0824e4_posterior
20210824_P17	20210824_P17	20210824_P17	0824e4_middle
20210824_P18	20210824_P18	20210824_P18	0824e4_middle
20210824_P19	20210824_P19	20210824_P19	0824e5
20210824_P20	20210824_P20	20210824_P20	0824e5
20210824_P21	20210824_P21	20210824_P21	0824e5
20210824_P22	20210824_P22	20210824_P22	0824e5
20210824_P23	20210824_P23	20210824_P23	0824e6
20210824_P24	20210824_P24	20210824_P24	0824e6
Rab12_e1_p01	Rab12_e1_p01	Rab12_e1_p01	Rab12_e1
Rab12_e1_p02	Rab12_e1_p02	Rab12_e1_p02	Rab12_e1
Rab12_e1_p03	Rab12_e1_p03	Rab12_e1_p03	Rab12_e1
Rab12_e1_p04	Rab12_e1_p04	Rab12_e1_p04	Rab12_e1
Rab12_e2_p01	Rab12_e2_p01	Rab12_e2_p01	Rab12_e2
Rab12_e2_p02	Rab12_e2_p02	Rab12_e2_p02	Rab12_e2
Rab12_e2_p03	Rab12_e2_p03	Rab12_e2_p03	Rab12_e2
Rab12_e2_p04	Rab12_e2_p04	Rab12_e2_p04	Rab12_e2
Rab12_e5_p01	Rab12_e5_p01	Rab12_e5_p01	Rab12_e5
Rab12_e5_p02	Rab12_e5_p02	Rab12_e5_p02	Rab12_e5
Rab12_e5_p03	Rab12_e5_p03	Rab12_e5_p03	Rab12_e5
Rab12_e5_p04	Rab12_e5_p04	Rab12_e5_p04	Rab12_e5
Rab12_e5_p05	Rab12_e5_p05	Rab12_e5_p05	Rab12_e5
Rab12_e5_p06	Rab12_e5_p06	Rab12_e5_p06	Rab12_e5
Rab12_e3_p01	Rab12_e3_p01	Rab12_e3_p01	Rab12_e3
Rab12_e3_p02	Rab12_e3_p02	Rab12_e3_p02	Rab12_e3
Rab12_e3_p03	Rab12_e3_p03	Rab12_e3_p03	Rab12_e3
Rab12_e3_p04	Rab12_e3_p04	Rab12_e3_p04	Rab12_e3
Rab12_e4_p01	Rab12_e4_p01	Rab12_e4_p01	Rab12_e4
Rab12_e4_p02	Rab12_e4_p02	Rab12_e4_p02	Rab12_e4
Rab12_e4_p03	Rab12_e4_p03	Rab12_e4_p03	Rab12_e4
Rab12_e4_p04	Rab12_e4_p04	Rab12_e4_p04	Rab12_e4
Rab12_e6_p01	Rab12_e6_p01	Rab12_e6_p01	Rab12_e6
Rab12_e6_p02	Rab12_e6_p02	Rab12_e6_p02	Rab12_e6
Rab12_e6_p03	Rab12_e6_p03	Rab12_e6_p03	Rab12_e6
Rab12_e6_p04	Rab12_e6_p04	Rab12_e6_p04	Rab12_e6
Rab12_e8_p01	Rab12_e8_p01	Rab12_e8_p01	Rab12_e8
Rab12_e8_p02	Rab12_e8_p02	Rab12_e8_p02	Rab12_e8
Rab12_e8_p03	Rab12_e8_p03	Rab12_e8_p03	Rab12_e8
Rab12_e8_p04	Rab12_e8_p04	Rab12_e8_p04	Rab12_e8
Rab_p06_f1e2	Rab_p06_f1e2	Rab_p06_f1e2	Rab1_f1e2
Rab_p18_f2e2	Rab_p18_f2e2	Rab_p18_f2e2	Rab1_f2e2
Rab_p25_f2e6	Rab_p25_f2e6	Rab_p25_f2e6	Rab1_f2e6
Rab_p29_f2e7	Rab_p29_f2e7	Rab_p29_f2e7	Rab1_f2e7
Rab_p31_f2e9	Rab_p31_f2e9	Rab_p31_f2e9	Rab1_f2e9
Rab_p32_f2e9	Rab_p32_f2e9	Rab_p32_f2e9	Rab1_f2e9
aria_p03_f2e3	aria_p03_f2e3	aria_p03_f2e3	Rab1_f2e3
aria_p09_f2e8	aria_p09_f2e8	aria_p09_f2e8	Rab1_f2e8
20210824_P01	20210824_P01	20210824_P01	0824e1
20210824_P02	20210824_P02	20210824_P02	0824e1
20210824_P03	20210824_P03	20210824_P03	0824e1
20211207_p01	20211207_p01	20211207_p01	rab13_e1
20211207_p02	20211207_p02	20211207_p02	rab13_e1
20211207_p03	20211207_p03	20211207_p03	rab13_e1
20211207_p04	20211207_p04	20211207_p04	rab13_e1
20211207_p04	20211207_p04	20211207_p04	rab13_e2
20211207_p04	20211207_p04	20211207_p04	rab13_e3
20211207_p05	20211207_p05	20211207_p05	rab13_e3
20211207_p06	20211207_p06	20211207_p06	rab13_e3
20211207_p07	20211207_p07	20211207_p07	rab13_e3
20211207_p08	20211207_p08	20211207_p08	rab13_e3
20211207_p09	20211207_p09	20211207_p09	rab13_e4
20211207_p09	20211207_p09	20211207_p09	rab13_e5
20211207_p10	20211207_p10	20211207_p10	rab13_e5
20211207_p11	20211207_p11	20211207_p11	rab13_e5
20211207_p12	20211207_p12	20211207_p12	rab13_e5
20211207_p12	20211207_p12	20211207_p12	rab13_e8
20211207_p13	20211207_p13	20211207_p13	rab13_e8
20211207_p14	20211207_p14	20211207_p14	rab13_e8
20211207_p14	20211207_p14	20211207_p14	rab13_e9
20211207_p15	20211207_p15	20211207_p15	rab13_e9
20211207_p16	20211207_p16	20211207_p16	rab13_e9
20211207_p17	20211207_p17	20211207_p17	rab13_e10
20211207_p18	20211207_p18	20211207_p18	rab13_e10
20211207_p19	20211207_p19	20211207_p19	rab13_e11
20211207_p20	20211207_p20	20211207_p20	rab13_e11
20211207_p20	20211207_p20	20211207_p20	rab13_e10
Rab14_P01	Rab14_P01	Rab14_P01	rab14_e1
Rab14_P02	Rab14_P02	Rab14_P02	rab14_e1
Rab14_P03	Rab14_P03	Rab14_P03	rab14_e1
Rab14_P04	Rab14_P04	Rab14_P04	rab14_e1
Rab14_P05	Rab14_P05	Rab14_P05	rab14_e2
Rab14_P06	Rab14_P06	Rab14_P06	rab14_e2
Rab14_P07	Rab14_P07	Rab14_P07	rab14_e2
Rab14_P08	Rab14_P08	Rab14_P08	rab14_e2
Rab14_P09	Rab14_P09	Rab14_P09	rab14_e3
Rab14_P10	Rab14_P10	Rab14_P10	rab14_e3
Rab14_P11	Rab14_P11	Rab14_P11	rab14_e3
Rab14_P12	Rab14_P12	Rab14_P12	rab14_e3
Rab14_P13	Rab14_P13	Rab14_P13	rab14_e4
Rab14_P14	Rab14_P14	Rab14_P14	rab14_e4
Rab14_P15	Rab14_P15	Rab14_P15	rab14_e4
Rab14_P16	Rab14_P16	Rab14_P16	rab14_e4
Rab14_P17	Rab14_P17	Rab14_P17	rab14_e5
